Update: [2013/12/05 12:01:38 (5.793938563)]
625] c0      1 Bluetooth: HCI device and connection manager initialized
<6>[    1.002807] c0      1 msm_hsic_host msm_hsic_host: new USB bus registered, assigned bus number 1
<6>[    1.025850] c0      1 msm_hsic_host msm_hsic_host: irq 261, io mem 0x12510000
<6>[    1.046207] c0      1 msm_hsic_host msm_hsic_host: USB 2.0 started, EHCI 1.00
<6>[    1.046513] c0      1 usb usb1: New USB device found, idVendor=1d6b, idProduct=0002
<6>[    1.046543] c0      1 usb usb1: New USB device strings: Mfr=3, Product=2, SerialNumber=1
<6>[    1.046574] c0      1 usb usb1: Product: Qualcomm EHCI Host Controller using HSIC
<6>[    1.046604] c0      1 usb usb1: Manufacturer: Linux 3.4.10-g968ce85 ehci_hcd
<6>[    1.046635] c0      1 usb usb1: SerialNumber: msm_hsic_host
<6>[    1.047153] c0      1 usb usb1: adding 1-0:1.0 (config #1, interface 0)
<6>[    1.047367] c0      1 hub 1-0:1.0: USB hub found
<6>[    1.047428] c0      1 hub 1-0:1.0: 1 port detected
<6>[    1.047550] c0      1 hub 1-0:1.0: usb_probe_interface[328] needs_remote_wakeup:1
<6>[    1.047855] c0      1 usb usb1: udev(usb1)->enable_pm_debug=[0]
<6>[    1.048100] c0      1 ehci_hsic_msm_probe[2456] pm_qos_add_request pm_qos_req_dma_htc
<6>[    1.048679] c0      1 ehci_hsic_msm_probe(2538): mdm_hsic_usb_hcd:0xde4ed000
<6>[    1.049259] c0      1 usbcore: registered new interface driver cdc_acm
<6>[    1.049290] c0      1 cdc_acm: USB Abstract Control Model driver for USB modems and ISDN adapters
<6>[    1.049290] c0      1 Initializing USB Mass Storage driver...
<6>[    1.049504] c0      1 usbcore: registered new interface driver usb-storage
<6>[    1.049504] c0      1 USB Mass Storage support registered.
<6>[    1.049626] c0      1 usbcore: registered new interface driver ums-alauda
<6>[    1.049748] c0      1 usbcore: registered new interface driver ums-cypress
<6>[    1.049839] c0      1 usbcore: registered new interface driver ums-datafab
<6>[    1.049961] c0      1 usbcore: registered new interface driver ums-freecom
<6>[    1.050083] c0      1 usbcore: registered new interface driver ums-isd200
<6>[    1.050175] c0      1 usbcore: registered new interface driver ums-jumpshot
<6>[    1.050358] c0      1 usbcore: registered new interface driver ums-karma
<6>[    1.050480] c0      1 usbcore: registered new interface driver ums-onetouch
<6>[    1.050602] c0      1 usbcore: registered new interface driver ums-sddr09
<6>[    1.050694] c0      1 usbcore: registered new interface driver ums-sddr55
<6>[    1.050816] c0      1 usbcore: registered new interface driver ums-usbat
<6>[    1.051060] c0      1 usbcore: registered new interface driver usbserial
<6>[    1.051121] c0      1 usbserial: USB Serial Driver core
<6>[    1.051243] c0      1 usbcore: registered new interface driver qcserial
<6>[    1.051365] c0      1 USB Serial support registered for Qualcomm USB modem
<6>[    1.051518] c0      1 usbcore: registered new interface driver usb_ehset_test
<6>[    1.051640] c0      1 usbcore: registered new interface driver diag_bridge
<6>[    1.051823] c0      1 usbcore: registered new interface driver mdm_bridge
<6>[    1.052372] c0      1 [USB] ci13xxx_msm_probe
<7>[    1.052525] c0      1 [USBH] peripheral driver registered w/ tranceiver
<4>[    1.052525] c0      1 [USB] peripheral only, otg->host exist
<6>[    1.052586] c0     63 [USBH] msm_otg_sm_work: state:UNDEFINED bit:0x00000000
<6>[    1.052617] c0     63 [USB] UNDEFINED work
<6>[    1.052647] c0     63 [USB] OTG_STATE_UNDEFINED state
<6>[    1.052647] c0     63 [USBH] msm_otg_reset
<6>[    1.052708] c0     63 [USBH] phy_reset: success
<6>[    1.053868] c0      1 msm_hsusb msm_hsusb: [ci13xxx_start] hw_ep_max = 32
<6>[    1.054234] c0      1 [USB] android_init_functions: android_init_functions rndis init
<6>[    1.054539] c0      1 [USB] android_init_functions: android_init_functions accessory init
<6>[    1.054967] c0      1 [USB] android_init_functions: android_init_functions mtp init
<6>[    1.055089] c0      1 [USB] android_init_functions: android_init_functions ptp init
<6>[    1.055272] c0      1 [USB] android_init_functions: android_init_functions cdc_network init
<6>[    1.055547] c0      1 [USB] android_init_functions: android_init_functions adb init
<6>[    1.056157] c0      1 android_usb gadget: Mass Storage Function, version: 2009/09/11
<6>[    1.056188] c0      1 android_usb gadget: Number of LUNs=1
<6>[    1.056218] c0      1  lun0: LUN: removable read only CD-ROM file: (no medium)
<6>[    1.056279] c0      1 [USB] android_init_functions: android_init_functions mass_storage init
<6>[    1.056462] c0      1 [USB] android_init_functions: android_init_functions cdc_ethernet init
<6>[    1.056767] c0      1 [USB] android_init_functions: android_init_functions diag init
<6>[    1.056920] c0      1 [USB] android_init_functions: android_init_functions modem init
<6>[    1.057103] c0      1 [USB] serial_function_init: serial_function_init: init string: HSIC:modem,HSUART:modem,tty,tty:autobot,tty:serial,tty:autobot
<6>[    1.057164] c0      1 gserial_init_port, port:0, transport:HSIC, type:2
<6>[    1.057195] c0      1 gserial_init_port, port:1, transport:HSUART, type:2
<6>[    1.057225] c0      1 gserial_init_port, port:2, transport:TTY, type:0
<6>[    1.057256] c0      1 gserial_init_port, port:3, transport:TTY, type:5
<6>[    1.057256] c0      1 gserial_init_port, port:4, transport:TTY, type:1
<6>[    1.057286] c0      1 gserial_init_port, port:5, transport:TTY, type:5
<6>[    1.059514] c0      1 [USB] android_init_functions: android_init_functions serial init
<6>[    1.059942] c0      1 [USB] android_init_functions: android_init_functions projector init
<6>[    1.060308] c0      1 [USB] android_init_functions: android_init_functions projector2 init
<6>[    1.060460] c0      1 [USB] android_init_functions: android_init_functions diag_mdm init
<6>[    1.062322] c0      1 [USB] android_init_functions: android_init_functions rmnet init
<6>[    1.062475] c0      1 [USB] android_init_functions: android_init_functions rmnet_smd init
<6>[    1.062627] c0      1 [USB] android_init_functions: android_init_functions rmnet_sdio init
<6>[    1.063055] c0      1 [USB] android_init_functions: android_init_functions rmnet_smd_sdio init
<6>[    1.063451] c0      1 [USB] android_init_functions: android_init_functions ccid init
<6>[    1.063604] c0      1 android_usb gadget: android_usb ready
<6>[    1.064336] c0      1 mousedev: PS/2 mouse device common for all mice
<6>[    1.065527] c0      1 usbcore: registered new interface driver xpad
<6>[    1.065649] c1     62 [TP] synaptics_ts_probe: enter
<6>[    1.065954] c0      1 [KEY] Power Key gpio = 26
<6>[    1.065985] c0      1 [KEY] keycode = 116, gpio = 1, type = 2
<6>[    1.066229] c0      1 msm_gpio_irq_set_wake: wake_irqs: 000000,00000000,00000400,00000400,04800000
<6>[    1.066442] c0      1 [KEY] keycode = 114, gpio = 77, irq = 365
<6>[    1.066656] c0      1 [KEY] keycode = 115, gpio = 11, irq = 299
<6>[    1.066717] c0      1 [KEY] GPIO Input Driver: Start gpio inputs for keypad_8960 in interrupt mode
<6>[    1.066809] c1     62 [TP] syn_pdt_scan: memory allocate success. ptr: df0fed40
<6>[    1.066839] c1     62 [TP] synaptics: 3 function supported
<6>[    1.067175] c0      1 input: keypad_8960 as /devices/virtual/input/input2
<6>[    1.067205] c1     62 Query: 1C, Command: 0000, Control:  8, Data:  0, INTR:  1, Funtion: 34
<6>[    1.067572] c1     62 Query: 20, Command: 001B, Control:  C, Data:  4, INTR:  2, Funtion:  1
<6>[    1.067938] c1     62 Query: 3D, Command: 0000, Control: 11, Data:  6, INTR:  4, Funtion: 12
<6>[    1.068090] c1    150 [TP] syn_probe_init: enter
<6>[    1.068243] c0      1 using input dev h2w headset for key reset
<6>[    1.068335] c0      1 using input dev keypad_8960 for key reset
<6>[    1.070410] c0      1 using rtc device, pm8xxx_rtc, for alarms
<6>[    1.070502] c0      1 rtc-pm8xxx rtc-pm8xxx: rtc core: registered pm8xxx_rtc as rtc0
<6>[    1.070776] c1    150 [TP] syn_pdt_scan: memory allocate success. ptr: df0fed40
<6>[    1.070807] c1    150 [TP] synaptics: 6 function supported
<6>[    1.071142] c0      1 i2c /dev entries driver
<6>[    1.071326] c1    150 Query: 1C, Command: 0000, Control:  8, Data:  0, INTR:  1, Funtion: 34
<6>[    1.071661] c1    150 Query: 20, Command: 001B, Control:  C, Data:  4, INTR:  2, Funtion:  1
<6>[    1.071997] c0      1 [NFC] pn544_dev_init: Loading pn544 driver
<6>[    1.072028] c1    150 Query: 3D, Command: 0000, Control: 11, Data:  6, INTR:  4, Funtion: 12
<6>[    1.072119] c0      1 [NFC] pn544_probe:
<6>[    1.072150] c0      1 [NFC] pn544_probe: init io_wake_lock
<6>[    1.072333] c0      1 [NFC] pn544_probe : requesting IRQ 344
<6>[    1.072546] c1    150 Query: 135, Command: 0134, Control: 10D, Data: 100, INTR:  8, Funtion: 54
<6>[    1.072791] c0      1 [NFC] pn544_probe: disable NFC by default (bootmode = 0)
<6>[    1.072821] c0      1 [NFC] pn544_Disable: gpio=181 set_value=1
<6>[    1.072852] c0      1 [NFC] pn544_probe: Probe success!
<4>[    1.072974] c0      1 i2c-core: driver [pn544] using legacy suspend method
<4>[    1.072974] c0      1 i2c-core: driver [pn544] using legacy resume method
<6>[    1.073065] c1    150 Query: 218, Command: 0200, Control: 201, Data: 200, INTR: 10, Funtion: 1A
<6>[    1.073096] c0      1 [AUD] tfa9887: tfa9887_init
<4>[    1.073462] c0      1 i2c-core: driver [tfa9887] using legacy suspend method
<4>[    1.073493] c0      1 i2c-core: driver [tfa9887] using legacy resume method
<6>[    1.073554] c0      1 [AUD] rt5501: rt5501_init
<6>[    1.073615] c1    150 Query: 308, Command: 0307, Control: 300, Data: 300, INTR: 20, Funtion: 55
<6>[    1.074072] c1    150 [TP] syn_get_version: package_id: 3402
<6>[    1.074347] c1    150 [TP] syn_get_version: packrat_number: 1505611
<6>[    1.074866] c0      1 [AUD] rt5501: i2c_read rt5501_i2c_read: rx[0] = 0xc0
<6>[    1.074927] c0      1 [AUD] rt5501: i2c_read rt5501_i2c_read: rx[1] = 0x1c
<6>[    1.074958] c0      1 [AUD] rt5501: rt5501 is connected
<6>[    1.074988] c1    150 [TP] syn_get_version: panel_version: 5443
<6>[    1.074988] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x0 val 0x4
<6>[    1.075263] c1    150 [TP] syn_get_version: config version: 31320110
<6>[    1.075537] c1    150 [TP] enable_flash_programming: clear gpio_irq before enter bootloader mode, data = 2
<6>[    1.076209] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x0 val 0xc0
<6>[    1.076423] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x81 val 0x30
<6>[    1.076606] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x87 val 0xf6
<6>[    1.076819] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x90 val 0xd0
<6>[    1.077002] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x93 val 0x9d
<6>[    1.077186] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x95 val 0x7b
<6>[    1.077399] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0xa4 val 0x1
<6>[    1.077582] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x96 val 0xae
<6>[    1.077765] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x97 val 0x11
<6>[    1.077979] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x98 val 0x22
<6>[    1.078162] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x99 val 0x44
<6>[    1.078406] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x9a val 0x55
<6>[    1.078681] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x9b val 0x66
<6>[    1.079078] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x9c val 0x99
<6>[    1.079200] c0    150 [TP] syn_pdt_scan: memory allocate success. ptr: de6d4bc0
<6>[    1.079230] c0    150 [TP] synaptics: 2 function supported
<6>[    1.079444] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x9d val 0x66
<6>[    1.079597] c0    150 Query: 1B, Command: 0000, Control:  7, Data:  0, INTR:  1, Funtion: 34
<6>[    1.079719] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x9e val 0x99
<6>[    1.079963] c0    150 Query: 1F, Command: 001A, Control:  B, Data:  4, INTR:  2, Funtion:  1
<6>[    1.079993] c0    150 [TP] tw mask = C 0 , C
<6>[    1.080085] c0      1 [AUD] rt5501: rt5501_write_reg: write reg 0x1 val 0xc7
<6>[    1.081245] c0    150 [TP] tw vendor= 0 8
<6>[    1.081275] c0    150 [TP] synaptics_ts_probe: pdata->version = 3332, pdata->packrat_number = 1505611, pdata->sensor_id = 10008
<6>[    1.081306] c0    150 [TP] CRC = 4910F039
<6>[    1.081764] c0      1 [HS_MGR] (headset_notifier_register) Register HS_INSERT notifier
<4>[    1.081977] c0      1 i2c-core: driver [rt5501] using legacy suspend method
<4>[    1.082099] c0      1 i2c-core: driver [rt5501] using legacy resume method
<6>[    1.082160] c0      1 [AUD] tfa9887l: tfa9887l_init
<4>[    1.082496] c0      1 i2c-core: driver [tfa9887l] using legacy suspend method
<4>[    1.082527] c0      1 i2c-core: driver [tfa9887l] using legacy resume method
<6>[    1.082710] c0      1 [AUD] tpa6185: tpa6185_init
<6>[    1.082893] c0      1 qup_i2c qup_i2c.3: QUP: I2C status flags :0x1300c8, irq:183
<6>[    1.082954] c0    150 qup_i2c qup_i2c.3: I2C slave addr:0x20 not connected
<6>[    1.084144] c0      1 qup_i2c qup_i2c.7: QUP: I2C status flags :0x11100c8, irq:191
<6>[    1.084205] c0      1 qup_i2c qup_i2c.7: I2C slave addr:0x63 not connected
<3>[    1.084236] c0      1 [AUD] tpa6185: tpa6185_i2c_read: transfer error -107
<6>[    1.084266] c0      1 [AUD] tpa6185: tpa6185 is not connected
<3>[    1.084297] c0      1 [AUD] tpa6185: tpa6185_probe: gpio 57 off error -107
<4>[    1.084419] c0      1 i2c-core: driver [tpa6185] using legacy suspend method
<4>[    1.084449] c0      1 i2c-core: driver [tpa6185] using legacy resume method
<6>[    1.084541] c0      1 [PS][cm3629] cm3629_probe
<6>[    1.086830] c0      0 [KEY] gpio_keys_scan_keys: key 1-74, 0 (26) changed to 0
<6>[    1.086860] c0      0 [KEY] [PWR] start count for power key clear check
<6>[    1.086922] c0      0 [KEY] gpio_keys_scan_keys: key 1-72, 1 (77) changed to 0
<6>[    1.086952] c0      0 [KEY] gpio_keys_scan_keys: key 1-73, 2 (11) changed to 0
<6>[    1.087013] c0    137 [KEY] [PWR] cancel power key check reset work unsuccessfully
<6>[    1.093239] c0    150 [TP] Disable flash programming success! F01_data: 81
<6>[    1.093270] c0    150 [TP] syn_config_update: the same config version and CRC
<6>[    1.095803] c0    150 [TP] syn_pdt_scan: memory allocate success. ptr: de6d5f00
<6>[    1.095833] c0    150 [TP] synaptics: 6 function supported
<6>[    1.096383] c0    150 Query: 1C, Command: 0000, Control:  8, Data:  0, INTR:  1, Funtion: 34
<6>[    1.096749] c0    150 Query: 20, Command: 001B, Control:  C, Data:  4, INTR:  2, Funtion:  1
<6>[    1.097115] c0    150 Query: 3D, Command: 0000, Control: 11, Data:  6, INTR:  4, Funtion: 12
<6>[    1.097665] c0    150 Query: 135, Command: 0134, Control: 10D, Data: 100, INTR:  8, Funtion: 54
<6>[    1.098214] c0    150 Query: 218, Command: 0200, Control: 201, Data: 200, INTR: 10, Funtion: 1A
<6>[    1.098763] c0    150 Query: 308, Command: 0307, Control: 300, Data: 300, INTR: 20, Funtion: 55
<6>[    1.099221] c0    150 [TP] syn_get_information: finger_support: 10
<6>[    1.099526] c0    150 [TP] syn_get_information: max_x: 1620, max_y: 2880
<6>[    1.101510] c0    150 [TP] syn_get_information: X: 15, Y: 26
<6>[    1.101907] c0    150 [TP] syn_get_information: ts->relaxation: 75
<6>[    1.101938] c0    150 [TP] Load display resolution: 1080x1920
<6>[    1.101968] c0    150 [TP] Debug log level=0x08
<6>[    1.102456] c0    150 [TP] input_set_abs_params: mix_x 0, max_x 1600, min_y 0, max_y 2700
<6>[    1.102823] c0    150 input: synaptics-rmi-touchscreen as /devices/virtual/input/input3
<6>[    1.103677] c1    155 [TP] Device Status = 0
<6>[    1.103952] c0    150 [TP] syn_probe_init: interrupt enable: 3f
<6>[    1.104227] c0    150 [TP]synaptics_touch_sysfs_init: Exported GPIO 34.
<3>[    1.104257] c0    150 Major number of rmi_char_dev: 230
<6>[    1.104471] c0    150 [TP] synaptics_ts_probe: Start touchscreen synaptics-rmi-touchscreen in interrupt mode
<6>[    1.116068] c0      1 [PS][cm3629] cm3629_read_chip_id, chip_id value = 0x83, 0x0, ret 0
<6>[    1.116099] c0      1 [PS][cm3629]cm3629_probe: lp_info->ls_cmd = 0x80!
<6>[    1.116130] c0      1 [PS][cm3629] cm3629_probe: ls_cmd 0x80, ps1_adc_offset=0x00, ps2_adc_offset=0x00, ps_debounce=0x0, ps1_thh_diff 0
<6>[    1.116465] c0      1 input: lightsensor-level as /devices/virtual/input/input4
<6>[    1.117076] c0      1 input: proximity as /devices/virtual/input/input5
<6>[    1.117381] c0      1 [LS][cm3629] lightsensor_set_kvalue: ALS calibrated als_kadc=0x6da52cf1
<6>[    1.117411] c0      1 [LS][cm3629] lightsensor_set_kvalue: als_kadc=0x2cf1, als_gadc=0x284c
<6>[    1.117442] c0      1 [LS][cm3629] wsensor_set_kvalue: WS calibrated ws_kadc=0x6da51943
<6>[    1.117472] c0      1 [LS][cm3629] wsensor_set_kvalue: ws_kadc=0x1, ws_gadc=0x1
<6>[    1.117503] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[0], 11
<6>[    1.117503] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[1], a3
<6>[    1.117533] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[2], 121
<6>[    1.117564] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[3], 43a
<6>[    1.117594] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[4], 8ec
<6>[    1.117625] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[5], 32fb
<6>[    1.117656] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[6], 4b46
<6>[    1.117686] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[7], 8bfb
<6>[    1.117717] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[8], bad9
<6>[    1.117747] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[9], ffff
<6>[    1.117900] c0      1 [PS][cm3629] psensor_set_kvalue: PS calibrated ps_kparam1 = 0x50530306, ps_kparam2 = 0xFFFF0A1F
<6>[    1.117930] c0      1 [PS][cm3629] psensor_set_kvalue: PS calibrated inte_ps1_canc = 0x1F, inte_ps2_canc = 0x0A, ((ps_kparam2 >> 16) & 0xFF) = 0xFF
<6>[    1.118358] c0      1 [LS][cm3629] ls_initial_cmd, cmd[0] = 0x81, cmd[1] = 0x0
<6>[    1.119151] c0      1 [PS][cm3629] psensor_initial_cmd, finish
<6>[    1.120006] c0      1 [PS][cm3629] cm3629_probe: Probe success!
<6>[    1.120128] c0      1 AKM8963 compass driver: initialize.
<6>[    1.120219] c0      1 [COMP][AKM8963] AKM8963 compass driver: probe.
<6>[    1.120738] c0      1 input: compass as /devices/virtual/input/input6
<4>[    1.121654] c0      1 i2c-core: driver [akm8963] using legacy suspend method
<4>[    1.121684] c0      1 i2c-core: driver [akm8963] using legacy resume method
<6>[    1.121776] c0      1 [GYRO][R3GD20] r3gd20_gyr: probe start v03.
<6>[    1.121806] c0      1 [GYRO][R3GD20] r3gd20_gyr hw init
<7>[    1.122264] c0      1 [GYRO][R3GD20] dev_data->pdata->gpio_int2 = 0
<6>[    1.123149] c0      1 input: r3gd20_gyr as /devices/i2c-2/2-0068/input/input7
<6>[    1.123485] c0      1 [GYRO][R3GD20] r3gd20_device_power_off:
<7>[    1.123699] c0      1 [GYRO][R3GD20] r3gd20_probe: Calibration data (x, y, z) = (1, -6, -6)
<6>[    1.123821] c0      1 [GYRO][R3GD20] r3gd20_probe: r3gd20_gyr probed: device created successfully
<4>[    1.123912] c0      1 i2c-core: driver [r3gd20_gyr] using legacy suspend method
<4>[    1.123943] c0      1 i2c-core: driver [r3gd20_gyr] using legacy resume method
<6>[    1.124248] c0      1 [GSNR][BMA250_BOSCH] Bosch Sensortec Device detected! CHIP ID = 0xf9. BMA250 registered I2C driver!
<6>[    1.124980] c0      1 [GSNR][BMA250_BOSCH] BMA250 G-sensor I2C driver: gs_kvalue = 0x67F103FC
<7>[    1.125011] c0      1 [GSNR][BMA250_BOSCH] bma250_probe: layout = 1
<6>[    1.125499] c0      1 input: bma250 as /devices/virtual/input/input8
<6>[    1.125988] c0      1 input: CIRSensor as /devices/virtual/input/input9
<6>[    1.126629] c0      1 [GSNR][BMA250_BOSCH] bma250_probe: BMA250 BOSCH driver probe successful
